Squad,team_url,team_id,team_slug
Algeria,https://fbref.com/en/squads/1e2dba57/Algeria-Men-Stats,1e2dba57,Algeria-Men-Stats
Argentina,https://fbref.com/en/squads/f9fddd6e/Argentina-Men-Stats,f9fddd6e,Argentina-Men-Stats
Australia,https://fbref.com/en/squads/b90bf4f9/Australia-Men-Stats,b90bf4f9,Australia-Men-Stats
Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,d5121f10,Austria-Men-Stats
Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,361422b9,Belgium-Men-Stats
Bosnia-Herzegovina,https://fbref.com/en/squads/6c5ef1c3/Bosnia-and-Herzegovina-Men-Stats,6c5ef1c3,Bosnia-and-Herzegovina-Men-Stats
Brazil,https://fbref.com/en/squads/304635c3/Brazil-Men-Stats,304635c3,Brazil-Men-Stats
Canada,https://fbref.com/en/squads/9c6d90a0/Canada-Men-Stats,9c6d90a0,Canada-Men-Stats
Cape Verde,https://fbref.com/en/squads/31fa6fa6/Cape-Verde-Men-Stats,31fa6fa6,Cape-Verde-Men-Stats
Colombia,https://fbref.com/en/squads/ab73cfe5/Colombia-Men-Stats,ab73cfe5,Colombia-Men-Stats
Congo DR,https://fbref.com/en/squads/9be9f315/Congo-DR-Men-Stats,9be9f315,Congo-DR-Men-Stats
Côte d'Ivoire,https://fbref.com/en/squads/24772b12/Cote-dIvoire-Men-Stats,24772b12,Cote-dIvoire-Men-Stats
Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,7b08e376,Croatia-Men-Stats
Curaçao,https://fbref.com/en/squads/e0f5893a/Curacao-Men-Stats,e0f5893a,Curacao-Men-Stats
Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,2740937c,Czechia-Men-Stats
Ecuador,https://fbref.com/en/squads/123acaf8/Ecuador-Men-Stats,123acaf8,Ecuador-Men-Stats
Egypt,https://fbref.com/en/squads/b8889750/Egypt-Men-Stats,b8889750,Egypt-Men-Stats
England,https://fbref.com/en/squads/1862c019/England-Men-Stats,1862c019,England-Men-Stats
France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,b1b36dcd,France-Men-Stats
Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,c1e40422,Germany-Men-Stats
Ghana,https://fbref.com/en/squads/9349828d/Ghana-Men-Stats,9349828d,Ghana-Men-Stats
Haiti,https://fbref.com/en/squads/61828292/Haiti-Men-Stats,61828292,Haiti-Men-Stats
IR Iran,https://fbref.com/en/squads/6a08f71e/IR-Iran-Men-Stats,6a08f71e,IR-Iran-Men-Stats
Iraq,https://fbref.com/en/squads/ec843efd/Iraq-Men-Stats,ec843efd,Iraq-Men-Stats
Japan,https://fbref.com/en/squads/ffcf1690/Japan-Men-Stats,ffcf1690,Japan-Men-Stats
Jordan,https://fbref.com/en/squads/3e22f0fa/Jordan-Men-Stats,3e22f0fa,Jordan-Men-Stats
Korea Republic,https://fbref.com/en/squads/473f0fbf/Korea-Republic-Men-Stats,473f0fbf,Korea-Republic-Men-Stats
Mexico,https://fbref.com/en/squads/b009a548/Mexico-Men-Stats,b009a548,Mexico-Men-Stats
Morocco,https://fbref.com/en/squads/af41ccda/Morocco-Men-Stats,af41ccda,Morocco-Men-Stats
Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,5bb5024a,Netherlands-Men-Stats
New Zealand,https://fbref.com/en/squads/259855f0/New-Zealand-Men-Stats,259855f0,New-Zealand-Men-Stats
Norway,https://fbref.com/en/squads/599eba19/Norway-Men-Stats,599eba19,Norway-Men-Stats
Panama,https://fbref.com/en/squads/6061a82d/Panama-Men-Stats,6061a82d,Panama-Men-Stats
Paraguay,https://fbref.com/en/squads/d2043442/Paraguay-Men-Stats,d2043442,Paraguay-Men-Stats
Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,4a1b4ea8,Portugal-Men-Stats
Qatar,https://fbref.com/en/squads/9b696ed1/Qatar-Men-Stats,9b696ed1,Qatar-Men-Stats
Saudi Arabia,https://fbref.com/en/squads/6e84edac/Saudi-Arabia-Men-Stats,6e84edac,Saudi-Arabia-Men-Stats
Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,602d3994,Scotland-Men-Stats
Senegal,https://fbref.com/en/squads/9ab5c684/Senegal-Men-Stats,9ab5c684,Senegal-Men-Stats
South Africa,https://fbref.com/en/squads/506f1741/South-Africa-Men-Stats,506f1741,South-Africa-Men-Stats
Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,b561dd30,Spain-Men-Stats
Sweden,https://fbref.com/en/squads/296f69e7/Sweden-Men-Stats,296f69e7,Sweden-Men-Stats
Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,81021a70,Switzerland-Men-Stats
Tunisia,https://fbref.com/en/squads/a7c7562a/Tunisia-Men-Stats,a7c7562a,Tunisia-Men-Stats
Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,ac6bcf92,Turkiye-Men-Stats
United States,https://fbref.com/en/squads/0f66725b/United-States-Men-Stats,0f66725b,United-States-Men-Stats
Uruguay,https://fbref.com/en/squads/870e020f/Uruguay-Men-Stats,870e020f,Uruguay-Men-Stats
Uzbekistan,https://fbref.com/en/squads/cd389e75/Uzbekistan-Men-Stats,cd389e75,Uzbekistan-Men-Stats
