actual_ranking,team,actual_elo,average_ranking,average_elo,one_year_change_ranking,one_year_change_elo,matches_total,matches_home,matches_away,matches_neutral,matches_wins,matches_losses,matches_draws,goals_for,goals_against
1,Spain,2155,7,1946,0,−2,781,341,302,138,461,138,182,1592,698
2,Argentina,2114,5,1987,0,−32,1110,381,419,310,611,228,271,2114,1136
3,France,2062,16,1795,0,+7,939,474,341,124,474,270,195,1707,1274
4,England,2021,4,1983,+1,+10,1161,509,524,128,684,215,262,2720,1118
5,Brazil,1991,4,1998,+1,−3,1067,373,346,348,672,172,223,2302,957
6,Portugal,1986,19,1797,−2,−44,695,321,262,112,347,189,159,1224,780
7,Colombia,1982,48,1621,+1,+46,650,185,229,236,267,205,178,847,742
8,Netherlands,1944,15,1848,−1,−30,902,430,358,114,465,240,197,1892,1143
9,Ecuador,1938,64,1525,+2,+29,600,183,211,206,185,254,161,724,904
10,Germany,1932,8,1911,−1,+19,1047,470,416,161,606,224,217,2358,1233
11,Norway,1914,38,1623,+4,+52,888,426,409,53,335,355,198,1377,1445
12,Croatia,1911,12,1881,−2,−1,400,158,167,75,210,84,106,696,404
12,Turkey,1911,42,1611,+5,+64,671,291,300,80,265,250,156,953,970
14,Japan,1906,62,1467,+2,+52,836,332,207,297,409,257,170,1518,985
15,Belgium,1893,24,1755,+5,+57,878,416,376,86,392,302,184,1606,1359
16,Uruguay,1892,12,1876,−4,+3,1019,336,432,251,446,321,252,1610,1254
17,Switzerland,1891,27,1690,+6,+64,897,426,392,79,320,373,204,1340,1484
18,Mexico,1875,20,1782,+7,+73,1030,298,273,459,535,258,237,1829,1056
19,Denmark,1869,20,1799,−5,+5,905,414,396,95,420,298,187,1652,1221
19,Italy,1869,8,1915,−6,−12,903,407,325,171,481,177,245,1581,894
21,Senegal,1867,56,1591,+11,+109,705,221,260,224,319,193,193,969,672
22,Paraguay,1833,23,1755,0,+2,789,215,365,209,277,303,209,1006,1115
23,Austria,1830,20,1810,−5,−15,866,432,383,51,371,310,185,1561,1321
24,Morocco,1827,43,1657,0,+16,730,319,219,192,365,165,200,1108,615
25,Canada,1788,49,1599,+2,−8,490,154,200,136,190,185,115,629,624
26,Scotland,1782,14,1879,+15,+66,869,403,413,53,413,268,188,1503,1076
27,Ukraine,1780,31,1745,+1,−11,340,134,146,60,154,91,95,478,358
28,Australia,1777,35,1672,+4,+19,637,271,223,143,326,180,131,1290,716
29,Iran,1772,40,1658,−3,−26,670,223,195,252,384,132,154,1275,525
30,Nigeria,1770,38,1668,+35,+194,716,241,263,212,332,179,205,1080,723
30,Russia,1770,24,1742,−1,−14,814,312,383,119,431,174,209,1479,779
32,Algeria,1760,48,1621,+12,+50,689,261,234,194,310,196,183,1053,703
33,South Korea,1758,35,1687,−3,−9,1052,353,255,444,573,221,258,1913,964
34,Greece,1744,49,1559,−14,−92,658,299,296,63,251,250,157,835,909
35,Czechia,1740,13,1855,−4,−23,884,361,416,107,426,261,197,1629,1099
36,Serbia,1734,20,1787,−17,−103,862,302,424,136,403,267,192,1618,1181
37,Panama,1730,99,1362,+2,+5,594,201,228,165,197,252,145,743,915
38,United States,1726,41,1642,+4,+14,827,489,253,85,367,287,173,1250,1077
39,Venezuela,1722,84,1432,−5,−35,482,179,179,124,129,246,107,522,874
40,Uzbekistan,1718,60,1596,+7,+24,366,130,129,107,180,111,75,635,400
41,Kosovo,1715,102,1420,+20,+111,109,49,40,20,43,43,23,156,147
42,Sweden,1712,17,1795,−7,−42,1120,490,500,130,549,336,235,2229,1487
43,Poland,1710,30,1712,+2,+4,921,397,410,114,400,296,225,1564,1243
44,Chile,1708,28,1678,−4,−9,853,328,308,217,318,347,188,1195,1218
45,Hungary,1707,20,1835,+1,+10,1034,468,492,74,488,324,222,2071,1526
46,Peru,1701,34,1679,−9,−38,709,266,253,190,229,304,176,859,988
47,Ireland,1699,24,1626,+8,+64,743,378,305,60,262,287,194,979,1161
48,Egypt,1696,37,1662,+2,+30,885,354,281,250,447,217,221,1546,923
49,Ivory Coast,1695,45,1640,+16,+119,693,241,238,214,349,166,178,1132,696
50,Wales,1682,22,1671,−12,−54,735,346,357,32,236,332,167,919,1176
50,Slovenia,1682,54,1625,−14,−67,321,145,146,30,116,118,87,401,381
52,Jordan,1680,111,1324,−1,+24,585,201,193,191,207,220,158,730,717
53,Slovakia,1667,40,1681,−5,−10,368,158,166,44,150,131,87,521,460
54,DR Congo,1661,62,1557,+10,+78,548,166,225,157,226,171,151,835,641
55,Georgia,1654,70,1553,−12,−57,321,141,148,32,107,146,68,415,444
56,Israel,1647,49,1621,+1,+30,524,249,213,62,197,207,120,804,764
57,Romania,1639,29,1717,−9,−38,802,333,377,92,355,247,200,1306,1020
58,Bolivia,1633,60,1509,−4,−3,537,189,205,143,122,294,121,551,1056
59,Tunisia,1628,47,1616,−1,+15,777,337,253,187,330,231,216,1105,845
60,Iraq,1618,47,1622,+19,+100,761,139,232,390,360,189,212,1204,708
61,Albania,1616,73,1504,−8,−23,410,192,185,33,116,209,85,396,604
62,Cameroon,1613,53,1605,+1,+17,661,184,247,230,287,172,202,952,712
63,Costa Rica,1611,36,1689,−11,−42,790,259,282,249,356,243,191,1369,919
64,Northern Ireland,1607,40,1655,+8,+52,611,276,297,38,172,289,150,644,925
65,Bosnia and Herzegovina,1595,53,1626,+12,+69,281,118,136,27,104,111,66,394,386
66,North Macedonia,1589,74,1534,−10,−31,305,141,134,30,95,131,79,364,411
67,Mali,1588,70,1523,−5,−13,625,195,234,196,249,206,170,824,718
68,Cape Verde,1578,120,1302,+11,+60,253,80,91,82,96,97,60,273,278
69,Honduras,1570,63,1500,0,+9,668,212,217,239,263,232,173,964,859
70,Saudi Arabia,1569,76,1500,−10,−39,839,324,151,364,397,247,195,1286,896
70,Iceland,1569,81,1425,0,+12,526,216,251,59,160,262,104,635,882
72,New Zealand,1562,66,1499,−13,−48,441,135,189,117,181,181,79,767,650
73,Haiti,1548,81,1418,−3,−9,563,181,196,186,247,198,118,962,761
74,United Arab Emirates,1540,98,1395,−1,−4,674,287,141,246,263,238,173,933,831
75,Angola,1537,86,1456,−1,−2,474,166,184,124,175,140,159,576,490
76,Finland,1536,62,1500,−1,+4,825,337,430,58,217,441,167,972,1699
77,Jamaica,1527,83,1413,−9,−42,719,272,268,179,280,272,167,961,942
78,Burkina Faso,1526,98,1402,+4,+24,492,154,187,151,170,192,130,612,675
79,Belarus,1525,80,1505,+4,+24,307,104,158,45,91,137,79,346,443
80,South Africa,1518,32,1707,−13,−52,526,276,161,89,231,141,154,720,543
81,Ghana,1510,42,1651,+5,+33,779,247,298,234,370,213,196,1248,823
82,Guatemala,1504,68,1486,+2,+4,628,205,180,243,225,237,166,878,858
83,Syria,1479,86,1428,+12,+40,598,125,224,249,223,227,148,859,760
83,Oman,1479,128,1211,−2,−25,594,230,145,219,223,219,152,757,784
85,Palestine,1467,121,1255,+4,+10,291,19,112,160,84,128,79,370,446
86,Guinea,1463,72,1516,+8,+12,646,172,263,211,251,211,184,953,804
87,Montenegro,1460,60,1597,−9,−59,174,91,78,5,58,73,43,205,239
88,Bulgaria,1458,41,1633,+3,+4,781,299,400,82,286,300,195,1094,1152
